Authors	Perseus Author Name	Author-Abbreviation (LSJ)	Author Abbreviation (OLD)	Author Abbreviation (Lewis & Short)	Work Title	Abbreviated Work Title	OLD Edition	P	Loeb Edition	P	Teubner edition	P	Status	ABOS	STOA	PHI	TLG	Date Created	Other (bhl, Perseus)	Authority Record	Created one/Enhanced existing one	Smith or Making of America location	Notes
Appendix Vergiliana					Copa								new collection	none	stoa0297-stoa004	692.5	none			``	n.a.	need uniform title authority record	
Appendix Vergiliana					Elegiae in Maecenatem								new collection	none	stoa0297-stoa009	692.6	none			``	n.a.	need uniform title authority record	
Appendix Vergiliana					Ciris								new collection	none	stoa0297-stoa003	692.7	none			yes (own)	n.a.	need uniform title authority record	
Appendix Vergiliana					Priapea								new collection	none	stoa0297-stoa013	692.8	none			yes (own)	n.a.	need uniform title authority record	
Appendix Vergiliana					Catalepton								new collection	none	stoa0297-stoa002	692.9	none			yes (own)	n.a.	need uniform title authority record	
Appendix Vergiliana					Priapeum 'Quid Hoc Novi Est?'								new collection	none	stoa0297-stoa014	692.10	none			``	n.a.	need uniform title authority record	
Appendix Vergiliana					Moretum								new collection	none	stoa0297-stoa012	692.11	none			yes (own)	n.a.	need uniform title authority record	
Appendix Vergiliana					De Institutione Viri Boni								new collection	none	stoa0297-stoa006	692.12	none			``	n.a.	need uniform title authority record	
Appendix Vergiliana					De Est et Non								new collection	none	stoa0297-stoa010	692.13	none			``	n.a.	need uniform title authority record	
Appendix Vergiliana					De Rosis Nascentibus								new collection	none	stoa0297-stoa007	692.14	none			``	n.a.	need uniform title authority record	
Appius Claudius, Pulcher					Fragmenta								new collection	none	stoa0029a-stoa001	none	none			yes (dnb)	need to enhance		
Appianus					Proemium								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0551,001	none	none	0551.001	140-165 A.D.		yes	n.a.		
Appianus					Basilica (Kings?)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0551,002	none	none	0551.002	140-165 A.D.		``	n.a.		
Appianus					Italica								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0551,003	none	none	0551.003	140-165 A.D.		``	n.a.		
Appianus					Samnitica								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0551,004	none	none	0551.004	140-165 A.D.		``	n.a.		
Appianus					Celtica								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0551,005	none	none	0551.005	140-165 A.D.		``	n.a.		
Appianus					Sicelia								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0551,006	none	none	0551.006	140-165 A.D.		``	n.a.		
Appianus					Iberica								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0551,007	none	none	0551.007	140-165 A.D.		``	n.a.		
Appianus					Annibaica								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0551,008	none	none	0551.008	140-165 A.D.		``	n.a.		
Appianus					Libyca (Punica)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0551,009	none	none	0551.009	140-165 A.D.		``	n.a.		
Appianus					Numidica								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0551,010	none	none	0551.010	140-165 A.D.		``	n.a.		
Appianus					Macedonica								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0551,011	none	none	0551.011	140-165 A.D.		``	n.a.		
Appianus					Illyrica								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0551,012	none	none	0551.012	140-165 A.D.		``	n.a.		
Appianus					Syriaca								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0551,013	none	none	0551.013	140-165 A.D.		``	n.a.		
Appianus					Mithridatica								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0551,014	none	none	0551.014	140-165 A.D.		``	n.a.		
Appianus					Civil Wars								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0551,017	none	none	0551.017	140-165 A.D.		``	n.a.		
Aprissius					Atellanae								new collection	none	none	410.1	none			yes	n.a.		
Apuleius					Apologia								new collection	none	stoa0030-stoa001	1212.1	none			yes	n.a.		
Apuleius					Metamorphoses								new collection	none	stoa0030-stoa007	1212.2	none			``	n.a.		
Apuleius					Florida								new collection	none	stoa0030-stoa005	1212.3	none			``	n.a.		
Apuleius					de Deo Socratis								new collection	none	stoa0030-stoa002	1212.4	none			``	n.a.		
Apuleius					Anechomenos								new collection	none	stoa0030-unassigned	1212.5	none			``	n.a.		
Apuleius					Carmina?								new collection	none	stoa0030-unassigned	1212.6	none			``	n.a.		
Apuleius					Asclepius (part of Fragmenta?)								new collection	none	stoa0030-stoa006?	1212.7	none			``	n.a.		
Apuleius					De Mundo								new collection	none	stoa0030-stoa004	1212.8	none			``	n.a.		
Apuleius					De Platone et eius dogmate								new collection	none	stoa0030-stoa003	1212.9	none			``	n.a.		
Apuleius					De Deo Socratis; Praef. [sp.]								new collection	none	stoa0030-stoa006?	1212.10	none			``	n.a.		
Aquila Romanus					De figuris sententiarum et Elocutionis								new collection	none	stoa0030b-stoa001	none	none			yes	n.a.		
Aquilius					Palliatae								new collection	none	none	5.1	none			yes	n.a.		
Aquilius Niger					Fragmenta								new collection	none	stoa0030c-stoa001	none	none			no	yes		
Arabius Scholasticus					Epigrammata								new collection	none	none	none	4035.001			yes(dnb)	yes	http://www.ancientlibrary.com/smith-bio/0262.html	
Ararus Comicus					Fragmenta								new collection	none	none	none	0415.001			yes (dnb)	no		
Aratus Solensis					Phaenomena								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0653,001	none	none	0653.001			yes	n.a.		
Aratus Solensis					Epigrammata								new collection	none	none	none	0653.003			``	``		
Arbonius Silo					Carmina								new collection	none	stoa0032-stoa001	703.1	none			yes	n..a		
Arcesilaus					Fragmentum								new collection	none	none	none	0520.001			yes (dnb)	yes		
Archedemus					Fragmenta								new collection	none	none	none	1173.001			yes(dnb)	n.a.		
Archedicus Comicus					Fragmenta								new collection	none	none	none	0416.001			yes (dnb)	yes		
Archelaus					Epigrammata								new collection	none	none	none	0570.002			yes(dnb)	yes	http://www.ancientlibrary.com/smith-bio/0273.html	
Archelaus					Fragmenta								new collection	none	none	none	0570.003			``	``		
Archestratus of Gela					Fragmenta								new collection	none	none	none	1175.001			yes	n.a.		
Archias (of Antioch)					Epigrammata								new collection	none	none	none	0126.001			no	yes	http://www.ancientlibrary.com/smith-bio/0275.html (maybe)	
Archilochus					Fragmenta								new collection	none	none	none	0232.001			yes	n.a.		
Archilochus					Epigrammata (i.d. is only good for those from the Greek Anthology)								new collection	none	none	none	0232.003			``	n.a.		
Archimedes					De Sphaera et Cylindro								new collection	none	none	none	0552.001			yes	yes		
Archimedes					Dimensio circuli								new collection	none	none	none	0552.002			``	``		
Archimedes					De conoidibus et sphaeroidibus								new collection	none	none	none	0552.003			``	``		
Archimedes					De spiralibus (De lineis spiralibus)								new collection	none	none	none	0552.004			``	``		
Archimedes					De planorum aequilibriis (peri isorropiôn)								new collection	none	none	none	0552.005			``	``		
Archimedes					Arenarius								new collection	none	none	none	0552.006			``	``		
Archimedes					De quadratura parabolae								new collection	none	none	none	0552.007			``	``		
Archimedes					De fluitantibus corporibus								new collection	none	none	none	0552.008			``	``		
Archimedes					Liber Assumptorum								new collection	none	none	none	0552.011						
Archimedes					Bovium problema (Problema Bovinum)								new collection	none	none	none	0552.012			``	``		
Archimedes					Fragmenta								new collection	none	none	none	0552.013			``	``		
Archimelus					Epigrammata								new collection	none	none	none	0131.001			yes (dnb)	yes	http://www.ancientlibrary.com/smith-bio/0282.html	
Archippus					Fragmenta								new collection	none	none	none	0417.001			yes(dnb)	yes		"Smith, Vol 1,  pg. 273: ""Archippus, 2, an Athenian comic poet of the old comedy…""Brill:Archippus, 1, poet of the old comedy"
Archippus					Fragmenta								new collection	none	none	none	0417.003			``	``		
Aretaeus					De causis et signis acutorum morborum libri duo 								Only Part of Perseus 4.0	Perseus:abo:tlg,0719,001	none	none	0719.001	150-200 A.D.		yes	n.a.		
Aretaeus					De causis et signis diuturnorum morborum libri duo								Only Part of Perseus 4.0	Perseus:abo:tlg,0719,002	none	none	0719.002	150-200 A.D.		``	n.a.		
Aretaeus					De curatione acutorum morborum libri duo								Only Part of Perseus 4.0	Perseus:abo:tlg,0719,003	none	none	0719.003	150-200 A.D.		``	n.a.		
Aretaeus					De curatione diuturnorum morborum libri duo								Only Part of Perseus 4.0	Perseus:abo:tlg,0719,004	none	none	0719.004	150-200 A.D.		``	n.a.		
Arethas					Epigrammata								new collection	none	none	none	2130.001			yes	n.a.		
Arion (Pseudo)					Fragmentum								new collection	none	none	none	2658x001			yes	n.a.		
Ariphron					Fragmentum								new collection	none	none	none	0378.001			yes (dnb)	yes	http://www.ancientlibrary.com/smith-bio/0297.html	
Aristaenetus					Epistulae								new collection	none	none	none	4000.001			yes(Dnb)	yes		
Aristagoras					Fragmenta								new collection	none	none	none	0418.001			yes(dnb)	yes		"Smith, Vol 1, pg. 290: ""Aristagoras, comic poet…"", Brill: Aristagoras, 4"
Aristagoras Milesius					Fragmenta								new collection	none	none	none	1190.003			yes(dnb)	yes		
Aristarchus of Samos					De magnitudinibus et distantiis solis et lunae								new collection	none	none	none	1181.001			yes	yes		
Aristarchus of Samothrace					Fragmenta/Apud Scholia in Homerum								new collection	none	none	none	1767.001			yes	yes		
Aristarchus of Tegea					Fragmenta								new collection	none	none	none	0306.001			yes(dnb)	yes		
Aristias					Fragmenta								new collection	none	none	none	0305.001			yes(dnb)	yes		
Aristides, Aelius					Εἰς Δία (Aristid. Or. 1)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,001	none	none	0284.001			yes	``		
Aristides, Aelius					Ἀθηνᾶ (Aristid. Or. 2)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,002	none	none	0284.002			yes	``		
Aristides, Aelius					Ἰσθμικὸς εἰς Ποσειδῶνα (Aristid. Or. 3)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,003	none	none	0284.003			yes	``		
Aristides, Aelius					Διόνυσος (Aristid. Or. 4)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,004	none	none	0284.004			yes	``		
Aristides, Aelius					Ἡρακλῆς (Aristid. Or. 5)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,005	none	none	0284.005			yes	``		
Aristides, Aelius					Λαλιὰ εἰς Ἀσκληπιόν (Aristid. Or. 6)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,006	none	none	0284.006			yes	``		
Aristides, Aelius					Ἀσκληπιάδαι  (Aristid. Or. 7)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,007	none	none	0284.007			yes	``		
Aristides, Aelius					Εἰς τὸν Σάραπιν (Aristid. Or. 8) 								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,008	none	none	0284.008			yes	``		
Aristides, Aelius					Εἰς βασιλέα [Sp.] (Aristid. Or. 9)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,009	none	none	0284.009			yes	``		
Aristides, Aelius					Ἀπελλᾶ γενεθλιακός  ((Aristid. Or. 10)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,010	none	none	0284.010			yes	``		
Aristides, Aelius					Εἰς Ἐτεωνέα ἐπικήδειος (Aristid. Or. 11) 								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,011	none	none	0284.011			yes	``		
Aristides, Aelius					Ἐπὶ Ἀλεξάνδρῳ ἐπιτάφιος (Aristid. Or. 12) 								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,012	none	none	0284.012			yes	``		
Aristides, Aelius					Παναθηναϊκός (Aristid. Or. 13)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,013	none	none	0284.013			yes	``		
Aristides, Aelius					Ῥώμης ἐγκώμιον (Aristid. Or. 14)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,014	none	none	0284.014			yes	``		
Aristides, Aelius					Σμυρναϊκὸς πολιτικός (Aristid. Or. 15) 								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,015	none	none	0284.015			yes	``		
Aristides, Aelius					Πανηγυρικὸς ἐν Κυζίκῳ περὶ τοῦ ναοῦ (Aristid. Or. 16)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,016	none	none	0284.016			yes	``		
Aristides, Aelius					Εἰς τὸ Αἰγαῖον πέλαγος (Aristid. Or. 17)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,017	none	none	0284.017			yes	``		
Aristides, Aelius					Εἰς τὸ φρέαρ τοῦ Ἀσκληπιοῦ (Aristid. Or. 18)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,018	none	none	0284.018			yes	``		
Aristides, Aelius					Ἐλευσίνιος (Aristid. Or. 19)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,019	none	none	0284.019			yes	``		
Aristides, Aelius					Μονῳδία ἐπὶ Σμύρνῃ (Aristid. Or. 20)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,020	none	none	0284.020			yes	``		
Aristides, Aelius					Παλινῳδία ἐπὶ Σμύρνῃ καὶ τῷ ταύτης ἀνοικισμῷ (Aristid. Or. 21)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,021	none	none	0284.021			yes	``		
Aristides, Aelius					Προσφωνητικός Σμυρναϊκός (Aristid. Or. 22)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,022	none	none	0284.022			yes	``		
Aristides, Aelius					Ἱεροὶ λόγοι αʹ (Aristid. Or. 23)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,023	none	none	0284.023			yes	``		
Aristides, Aelius					Ἱεροὶ λόγοι βʹ(Aristid. Or. 24)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,024	none	none	0284.024			yes	``		
Aristides, Aelius					Ἱεροὶ λόγοι γʹ(Aristid. Or. 25)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,025	none	none	0284.025			yes	``		
Aristides, Aelius					Ἱεροὶ λόγοι δʹ (Aristid. Or. 26)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,026	none	none	0284.026			yes	``		
Aristides, Aelius					Ἱεροὶ λόγοι εʹ(Aristid. Or. 27)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,027	none	none	0284.027			yes	``		
Aristides, Aelius					Ἱεροὶ λόγοι ςʹ(Aristid. Or. 28)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,028	none	none	0284.028			yes	``		
Aristides, Aelius					Περὶ τοῦ πέμπειν βοήθειαν τοῖς ἐν Σικελίᾳ (Aristid. Or. 29)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,029	none	none	0284.029			yes	``		
Aristides, Aelius					Εἰς τὸ ἐναντίον (Aristid. Or. 30)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,030	none	none	0284.030			yes	``		
Aristides, Aelius					Ὑπὲρ τῆς πρὸς Λακεδαιμονίους εἰρήνης (Aristid. Or. 31)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,031	none	none	0284.031			yes	``		
Aristides, Aelius					Ὑπὲρ τῆς πρὸς Ἀθηναίους εἰρήνης (Aristid. Or. 32)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,032	none	none	0284.032			yes	``		
Aristides, Aelius					Λευκτρικὸς αʹ  (ὑπὲρ Λακεδαιμονίων πρῶτος)  (Aristid. Or. 33)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,033	none	none	0284.033			yes	``		
Aristides, Aelius					Λευκτρικὸς βʹ  (ὑπὲρ Θηβαίων πρῶτος) (Aristid. Or. 34)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,034	none	none	0284.034			yes	``		
Aristides, Aelius					Λευκτρικὸς γʹ (ὑπὲρ Λακεδαιμονίων δεύτερος)  (Aristid. Or. 35)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,035	none	none	0284.035			yes	``		
Aristides, Aelius					Λευκτρικὸς δʹ  (ὑπὲρ Θηβαίων δεύτερος) (Aristid. Or. 36)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,036	none	none	0284.036			yes	``		
Aristides, Aelius					Λευκτρικὸς εʹ  (ὑπὲρ μηδετέροις βοηθεῖν) (Aristid. Or. 37)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0284,037	none	none	0284.037			yes	``		
