urn|work|title_eng|notes|urn_status|created_by|edited_by
urn:cite:perseus:catwk.176.1|urn:cts:greekLit:tlg0007.tlg111|Consolatio ad uxorem||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.177.1|urn:cts:greekLit:tlg0007.tlg055|Cicero||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.178.1|urn:cts:greekLit:tlg0007.tlg117|An seni respublica gerenda sit||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.179.1|urn:cts:greekLit:tlg0007.tlg040|Comparison of Nicias and Crassus||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.180.1|urn:cts:greekLit:tlg0007.tlg072|De capienda ex inimicis utilitate||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.181.1|urn:cts:greekLit:tlg0007.tlg112|Quaestiones Convivales||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.182.1|urn:cts:greekLit:tlg0007.tlg058|Antonius||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.183.1|urn:cts:greekLit:tlg0007.tlg006|Comparison of Lycurgus and Numa||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.184.1|urn:cts:greekLit:tlg0007.tlg065|Galba||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.185.1|urn:cts:greekLit:tlg0007.tlg035|Cimon||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.186.1|urn:cts:greekLit:tlg0007.tlg139|Non posse suaviter vivi secundum Epicurum||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.187.1|urn:cts:greekLit:tlg0007.tlg062|Comparison of Dion and Brutus||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.188.1|urn:cts:greekLit:tlg0008.tlg001|Deipnosophistae||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.189.1|urn:cts:greekLit:tlg0009.tlg001|Fragmenta||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.190.1|urn:cts:greekLit:tlg0009.tlg002|Epigrammata||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.191.1|urn:cts:greekLit:tlg0010.tlg028|Ad Alexandrum||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.192.1|urn:cts:greekLit:tlg0010.tlg016|Archidamus||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.193.1|urn:cts:greekLit:tlg0010.tlg019|Antidosis||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.194.1|urn:cts:greekLit:tlg0010.tlg002|Against Callimachus||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.195.1|urn:cts:greekLit:tlg0010.tlg009|Helen||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.196.1|urn:cts:greekLit:tlg0010.tlg007|To Demonicus||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.197.1|urn:cts:greekLit:tlg0010.tlg013|To Nicocles||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.198.1|urn:cts:greekLit:tlg0010.tlg015|Evagoras||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.199.1|urn:cts:greekLit:tlg0010.tlg018|Areopagiticus||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.200.1|urn:cts:greekLit:tlg0010.tlg006|Aegineticus||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.201.1|urn:cts:greekLit:tlg0010.tlg008|Against the Sophists||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.202.1|urn:cts:greekLit:tlg0010.tlg005|Trapeziticus||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.203.1|urn:cts:greekLit:tlg0010.tlg021|Panathenaicus||published|feed_aggregator|feed_aggregator
