Authors	Work Title	Volume	Status	ABOS	STOA	PHI or BHL	TLG	Perseus Identifier	Authority Record	Language	Notes
Carmina Delphis Inventa	Carmina Delphis Inventa	Musici Scriptores Graeci	new collection	none	none	none	0362.001		no	Greek	
Carmina Popularia	Carmina Popularia Fragmenta	Anthologia Lyrica (Hiller-1897); Anthologia Lyrica Graeca, Volume 2, 1925, Greek Melic Poets, PLG Vol III	new collection	none	none	none	0295.001		no	Greek	
Carmina Popularia	Carmina Popularia Fragmenta	Lyra Graeca, Vol III	new collection	none	none	none	0295.001		no	Greek & English	
Chionis Epistulae	Epistulae	Epistolographi Graeci	new collection	none	none	none	0041.001		no	Greek & Latin	
Choliambica Adespota	Anonymus in turpilucrum.	Anthologia Lyrica Graeca, Volume 1, 1925	new collection	none	none	none	1797.002		n.a.	Greek	
Choliambica Adespota	Fragmenta Choliambica Adespota	Anthologia Lyrica Graeca, Volume 1, 1925; Anthologia Lyrica,Volume III, Iamborum Scriptores	new collection	none	none	none	1797.001		n.a.	Greek	
Chronographiae Anonymae	Chronographia brevis (e cod. Coislin. 193)	Nicephori Archiepiscopi Constantinopolitani Opuscula historica.	new collection	none	none	none	2738.002		n.a.	Greek	
Chronographiae Anonymae	Chronographia brevis (e cod. Monac. gr. 510)	Nicephori Archiepiscopi Constantinopolitani Opuscula historica.	new collection	none	none	none	2738.004		n.a.	Greek	
Chronographiae Anonymae	Chronographia brevis (e cod. Paris. suppl. gr. 67)	Nicephori Archiepiscopi Constantinopolitani Opuscula historica.	new collection	none	none	none	2738.003		n.a.	Greek	
Comica Adespota (CAF)	Fragmenta	CAF, Vol III	new collection	none	none	none	0408.002		n.a.	Greek	
Comica Adespota (CAF)	Fragmenta incertorum poetarum	CAF, Vol III	new collection	none	none	none	0408.001		n.a.	Greek	
Comica Adespota	Adespota veteris comoediae	Supplementum Comicum	new collection	none	none	none	0659.001		n.a.	Greek	
Comica Adespota	Adespota Nova Comoediae	Supplementum Comicum	new collection	none	none	none	0659.002		n.a.	Greek	
Comica Adespota	Fragmenta Incerta Comoediae	Supplementum Comicum	new collection	none	none	none	0659.003		n.a.	Greek	
